0-10%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.31226	0.0694576	0.0812281	0.15369	0.798012
0.728393	0.386443	0.0232992	0.055026	0.122001	0.25547
1.21911	0.482408	0.0145639	0.0852948	0.132951	0.196202
1.71404	0.622208	0.0136167	0.0973748	0.150042	0.204926
2.21188	0.684129	0.0141074	0.0920409	0.159485	0.229591
2.71147	0.700363	0.014887	0.10866	0.175862	0.253027
3.35553	0.538522	0.0113758	0.079624	0.130027	0.184358
4.36448	0.473475	0.0173609	0.0782288	0.113941	0.149531
5.37455	0.413101	0.0277423	0.0908705	0.119695	0.154611
6.58586	0.300654	0.0311122	0.070907	0.0961438	0.134505
8.63676	0.184126	0.0558539	0.0758521	0.100331	0.241327

10-20%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.31813	0.0450616	0.106901	0.170577	0.815825
0.728393	0.413451	0.0240276	0.0791118	0.14082	0.278387
1.21911	0.493421	0.0147996	0.0628285	0.121772	0.191336
1.71404	0.59057	0.0129429	0.0682803	0.128068	0.184262
2.21188	0.681838	0.0137615	0.0720019	0.148442	0.221651
2.71147	0.738096	0.0148764	0.0803661	0.166418	0.253874
3.35553	0.553391	0.0110885	0.0816814	0.133531	0.189388
4.36448	0.556537	0.0183466	0.0901646	0.132708	0.174835
5.37455	0.524306	0.0317595	0.0924854	0.135391	0.183735
6.58586	0.416096	0.0355631	0.0694342	0.113561	0.172751
8.63676	0.264587	0.0810141	0.0715657	0.118438	0.336899

20-40%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.359585	0.0370568	0.078088	0.169325	0.917514
0.728393	0.37173	0.0155113	0.05005	0.116085	0.24514
1.21911	0.522137	0.0108252	0.0678988	0.129595	0.20294
1.71404	0.650823	0.0106465	0.071722	0.139287	0.201783
2.21188	0.710809	0.0112169	0.0747314	0.154589	0.230961
2.71147	0.798498	0.014017	0.0929564	0.183016	0.276613
3.35553	0.646714	0.0103308	0.0837367	0.149169	0.216529
4.36448	0.643131	0.0172036	0.103002	0.15255	0.201426
5.37455	0.707795	0.0318604	0.122023	0.180852	0.246625
6.58586	0.504123	0.0370545	0.0824258	0.136554	0.208621
8.63676	0.408844	0.0701795	0.102617	0.17831	0.518947

40-60%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.30139	0.0373829	0.0729704	0.145543	0.769699
0.728393	0.355512	0.0191536	0.0463943	0.110394	0.234149
1.21911	0.465613	0.0136827	0.0440806	0.107853	0.176146
1.71404	0.582582	0.0141041	0.0607743	0.122952	0.179435
2.21188	0.686332	0.0160802	0.064456	0.145699	0.220637
2.71147	0.750265	0.0189891	0.0803357	0.168511	0.257634
3.35553	0.738025	0.0172246	0.099527	0.172489	0.248663
4.36448	0.789599	0.0305962	0.135276	0.193354	0.251922
5.37455	0.856325	0.0554537	0.151933	0.22173	0.300531
6.58586	0.765575	0.069374	0.178376	0.243214	0.341354
8.63676	0.751253	0.186799	0.189031	0.327918	0.953663

60-80%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.416554	0.0645006	0.12627	0.215026	1.06652
0.728393	0.461233	0.0346835	0.0933515	0.160013	0.312047
1.21911	0.403224	0.0250407	0.0934934	0.126521	0.174795
1.71404	0.523424	0.0265195	0.0839726	0.127565	0.173378
2.21188	0.643449	0.0300369	0.109312	0.164182	0.226019
2.71147	0.799466	0.042125	0.143867	0.21357	0.297886
3.35553	0.690961	0.0336187	0.129293	0.184697	0.249465
4.36448	0.676969	0.0565615	0.156273	0.196089	0.240042
5.37455	1.18212	0.125027	0.309871	0.381735	0.473444
6.58586	0.91407	0.141217	0.296473	0.35618	0.456779
8.63676	-0.345393	-0.756752	0.0895021	0.152272	0.438974

10-40%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.347903	0.0297969	0.0825655	0.167175	0.888329
0.728393	0.387247	0.0132376	0.0566812	0.122957	0.256338
1.21911	0.508163	0.00872138	0.0623103	0.124192	0.196279
1.71404	0.624305	0.00822181	0.0684997	0.133457	0.193455
2.21188	0.69675	0.00874023	0.0721233	0.150989	0.22603
2.71147	0.767761	0.010214	0.0854394	0.174004	0.264667
3.35553	0.603907	0.00756047	0.0824851	0.141749	0.203895
4.36448	0.602934	0.012547	0.0952151	0.142108	0.18815
5.37455	0.625602	0.0227552	0.105256	0.15811	0.216712
6.58586	0.466399	0.0271159	0.0784475	0.127669	0.193885
8.63676	0.345458	0.0509077	0.0638602	0.138781	0.434551

40-80%
pT 	 RAA 	 Statistical error 	 Systematic error 	 pp error (low) 	 pp error (up)
0.242118	0.31304	0.0327675	0.0642492	0.145725	0.798442
0.728393	0.37134	0.0157106	0.0446067	0.113743	0.243839
1.21911	0.449325	0.011987	0.0482284	0.106532	0.171496
1.71404	0.569309	0.0124453	0.0621235	0.121526	0.176292
2.21188	0.672015	0.0141213	0.0681447	0.144956	0.217558
2.71147	0.751065	0.0171633	0.0864759	0.17166	0.25986
3.35553	0.722286	0.0152364	0.0972312	0.168711	0.24329
