centrality,  Nbin,  Xsection,  stat. sys. sys1.(NotCorr),  sys2(Corr). sys3(Nbin).
0-10% 938.802 38.7413 1.22084 5.61204 0.483805 5.59115 1.08451
10-20% 579.894 39.8818 0.980385 4.38859 1.4024 4.15848 1.98505
20-40% 288.351 42.2871 0.753482 4.67528 0.524742 4.64574 4.45715
40-60% 91.371 40.3436 0.888928 4.55116 0.713793 4.49484 9.29614
60-80% 21.374 43.5683 1.60368 9.09579 0.807302 9.05989 18.2207
10-40% 386.085 41.2159 0.60785 4.40071 0.665435 4.35011 3.18852
40-80% 56.9923 40.4696 0.760273 4.61979 0.542523 4.58782 10.5466
0-80% 301.058 41.238 0.485397 4.57639 0.397043 4.55913 3.19528
10-80% 197 40.8379 0.486158 4.09148 0.721602 4.02735 0.207299
30-50% 168 41.9256 0.733748 3.79139 0.391615 3.77111 0.249557
