centrality,  Nbin,  Xsection,  stat. sys. sys1.(NotCorr),  sys2(Corr). sys3(Nbin).
0-10% 938.802 0.274982 0.0084602 0.0321847 0.00703857 0.0314056 0.00769775
10-20% 579.894 0.332282 0.00911346 0.0360391 0.00344272 0.0358743 0.0165387
20-40% 288.351 0.399246 0.00872765 0.0421474 0.00935298 0.0410965 0.0420814
40-60% 91.371 0.495811 0.0154752 0.0691517 0.0101385 0.0684045 0.114247
60-80% 21.374 0.539454 0.0342831 0.109251 0.0218843 0.107037 0.225605
10-40% 386.085 0.368772 0.00633607 0.0376682 0.00508259 0.0373237 0.0285288
40-80% 56.9923 0.49636 0.0139642 0.0574185 0.011473 0.0562606 0.129354
0-80% 301.058 0.374039 0.00498116 0.0393567 0.00532671 0.0389945 0.028982
10-80% 197 0.394979 0.00576306 0.0401776 0.0061364 0.0397062 0.00200497
30-50% 168 0.473408 0.0120063 0.0493951 0.0172244 0.0462947 0.00281791
