centrality,  Nbin,  Xsection,  stat. sys. sys1.(NotCorr),  sys2(Corr). sys3(Nbin).
0-10% 938.802 38.7413 1.22084 4.06881 0.483805 4.03994 1.08451
10-20% 579.894 39.8818 0.980385 3.39541 1.4024 3.09226 1.98505
20-40% 288.351 42.2871 0.753482 3.6569 0.524742 3.61905 4.45715
40-60% 91.371 40.3436 0.888928 3.48464 0.713793 3.41075 9.29614
60-80% 21.374 43.5683 1.60368 7.14124 0.807302 7.09546 18.2207
10-40% 386.085 41.2159 0.60785 3.43449 0.665435 3.36941 3.18852
40-80% 56.9923 40.4696 0.760273 3.98289 0.542523 3.94577 10.5466
0-80% 301.058 41.238 0.485397 3.99296 0.397043 3.97317 3.19528
10-80% 197 40.8379 0.486158 3.55878 0.721602 3.48485 0.207299
30-50% 168 41.9256 0.733748 3.22264 0.391615 3.19876 0.249557
