piplus+piminus: 0-12%/60-80% pt y ystat ysys
3.500e-01 3.83e-01  2.84e-03 1.91e-02
4.500e-01 4.06e-01  3.37e-03 2.03e-02
5.500e-01 4.27e-01  4.10e-03 2.13e-02
6.500e-01 4.43e-01  5.01e-03 2.22e-02
7.500e-01 4.55e-01  6.09e-03 2.28e-02
8.500e-01 4.64e-01  7.19e-03 3.25e-02
9.500e-01 4.69e-01  8.36e-03 3.28e-02
1.050e+00 4.73e-01  9.77e-03 3.31e-02
1.150e+00 5.37e-01  1.56e-02 2.68e-02
1.300e+00 5.33e-01  1.59e-02 2.66e-02
1.500e+00 5.17e-01  1.44e-02 2.58e-02
1.700e+00 5.22e-01  1.86e-02 2.61e-02
1.900e+00 4.86e-01  2.02e-02 2.43e-02
2.100e+00 4.53e-01  1.88e-02 6.80e-02
2.350e+00 4.47e-01  2.33e-02 6.71e-02
2.625e+00 3.94e-01  2.68e-03 1.97e-02
2.875e+00 3.74e-01  2.84e-03 1.87e-02
3.125e+00 3.52e-01  3.39e-03 1.76e-02
3.375e+00 3.41e-01  4.10e-03 1.70e-02
3.625e+00 3.16e-01  5.69e-03 1.58e-02
3.875e+00 2.93e-01  9.06e-03 1.46e-02
4.250e+00 2.87e-01  7.78e-03 1.43e-02
4.750e+00 2.66e-01  1.10e-02 1.33e-02
5.250e+00 2.67e-01  1.11e-02 2.67e-02
5.750e+00 2.56e-01  1.23e-02 2.56e-02
6.440e+00 2.35e-01  9.58e-03 2.35e-02
7.450e+00 2.20e-01  2.13e-02 2.20e-02
8.830e+00 2.63e-01  3.38e-02 2.63e-02
1.086e+01 2.68e-01  7.27e-02 2.68e-02
