phi:0-10%, pT(GeV/c)    mT-m0(GeV/c2)    d2N/(2πmTdmTdy) (GeV/c2)-2    stat. err.
0.45    0.09494    1.78378    0.24248
0.55    0.13896    1.60305    0.09964
0.65    0.18966    1.49762    0.07541
0.75    0.24625    1.1562    6.71E-02
0.9    0.34054    0.99853    4.42E-02
1.1    0.48045    0.61804    3.26E-02
1.35    0.67241    0.3779    2.28E-02
1.65    0.92029    0.17721    1.65E-02
2    1.22563    7.48E-02    7.03E-03
2.4    1.58837    3.08E-02    4.04E-03
2.8    1.96066    1.31E-02    1.60E-03
3.25    2.387    0.0035    6.65E-04
3.75    2.86698    7.95E-04    2.45E-04
4.5    3.59493    2.06E-04    3.31E-05
